src_ip,dst_ip,src_port,dst_port,protocol,pkt_count,byte_count,start_time,last_time,duration,label
103.179.92.14,70.43.72.44,31086,26338,UDP,32,2788,1757488951,1715005563,7.461,0
107.71.188.20,228.183.106.83,1955,221,HTTPS,33,1407,1754250094,1713045088,5.849,1
103.121.210.214,82.249.106.184,46920,46995,HTTPS,3,4184,1706971631,1754393766,3.943,1
75.202.87.116,21.195.177.160,58086,63383,UDP,30,1366,1713322772,1733793258,1.791,0
100.103.151.130,219.6.69.126,32754,4819,TCP,12,211,1729978764,1718494570,2.346,1
150.52.1.87,143.209.159.247,15250,56345,UDP,29,1959,1718980104,1725916606,5.797,1
236.157.37.129,203.147.215.142,14885,53776,UDP,3,1177,1727025546,1745844447,4.292,0
192.187.20.160,176.198.148.169,32325,7350,TCP,26,3920,1757035210,1700481809,5.198,0
204.57.21.252,154.235.119.127,49267,5619,TCP,30,1708,1712513349,1726400656,1.79,1
236.88.48.218,142.56.164.57,23790,27465,DNS,9,3175,1719329408,1741816801,6.663,0
59.254.169.219,21.81.68.130,37198,42625,DNS,26,2013,1758856053,1724061606,8.54,1
188.207.14.189,87.217.164.215,64952,56362,TCP,2,2339,1710922181,1752149830,2.654,0
190.174.189.50,49.146.114.88,42131,61331,HTTPS,3,1016,1701724620,1737921641,4.966,1
108.54.243.63,85.127.139.248,51208,37345,HTTPS,46,939,1738724151,1742336821,9.758,0
249.130.228.50,189.168.160.177,18719,60322,UDP,4,3111,1745055774,1747204322,3.399,0
135.20.72.166,117.195.126.233,42371,18256,HTTP,25,3679,1704830165,1755748445,5.991,0
18.131.88.59,249.70.85.246,4145,24300,UDP,13,3239,1706566692,1733105995,0.993,0
14.241.249.8,33.80.151.60,19281,47976,UDP,39,2798,1717135278,1728324386,6.1,0
90.52.129.83,61.97.27.185,29188,1463,HTTP,44,1716,1707248730,1753020938,0.987,0
92.110.187.198,43.168.166.85,26515,54674,TCP,35,3116,1748259953,1733591612,9.596,0
172.252.7.174,177.16.97.197,60246,15906,HTTPS,23,1491,1744898291,1759354232,7.185,0
35.205.80.163,238.197.97.64,24189,24921,UDP,9,1117,1702077645,1707546691,7.903,0
50.103.131.1,74.84.4.1,49738,16253,HTTP,2,4273,1734955903,1705611544,7.071,1
254.133.53.105,22.111.56.65,4772,41005,DNS,41,2973,1748297390,1755701663,5.938,0
4.53.220.190,74.97.143.111,34069,40582,UDP,44,4303,1721557113,1702251347,4.554,1
146.217.43.161,179.124.166.85,27577,34837,HTTPS,31,3906,1735270980,1730991473,8.598,0
202.189.227.13,76.87.238.167,52035,5754,TCP,44,876,1704952505,1704792030,9.573,1
95.47.14.199,38.187.58.137,61404,40006,UDP,47,4657,1746347043,1713218691,5.04,1
206.214.251.248,99.191.242.62,45355,14176,UDP,2,4035,1759738399,1719397109,9.322,0
190.39.212.207,49.191.31.134,31521,56169,HTTP,32,2142,1704100321,1706702245,5.875,0
237.81.110.52,21.19.153.126,32332,6192,DNS,18,3229,1729324351,1754123508,5.43,1
24.153.216.251,68.109.115.213,56105,17899,DNS,13,4588,1733534918,1708745662,4.599,1
188.123.236.40,143.119.231.212,40584,18983,TCP,46,3951,1735652143,1724173742,2.172,0
157.14.44.64,79.213.115.91,54889,14623,HTTPS,5,2412,1739649993,1710891264,0.137,0
89.70.8.87,14.154.124.232,47710,1002,TCP,42,2274,1700037361,1718659202,2.491,0
129.235.135.215,168.57.27.25,11398,50186,UDP,44,1776,1715547216,1751321572,5.146,1
63.138.242.80,113.190.65.152,5699,47646,UDP,10,2056,1719676061,1718742845,3.862,0
136.162.162.32,248.253.130.199,2194,43001,DNS,43,316,1741701268,1744771647,4.54,0
123.4.233.230,44.96.41.243,42473,23284,HTTPS,25,887,1703463227,1734657680,9.808,0
250.40.27.134,227.5.166.179,44509,57618,HTTP,34,4634,1758424716,1710023293,3.568,0
201.71.11.161,23.88.122.177,59550,21436,HTTPS,37,4847,1736012288,1741764557,4.577,0
33.47.246.150,171.146.196.50,62847,27224,UDP,30,736,1735316288,1721040744,1.422,1
62.215.36.98,11.247.11.73,13474,59124,HTTP,7,3411,1752672750,1724993085,0.575,1
172.103.213.218,8.151.251.219,11704,37245,HTTPS,6,406,1711960096,1709418530,7.777,0
